2025-12-15 14:15:54,779 | INFO | etl.run_13 | ETL Run 13 started (full mode)
2025-12-15 14:15:54,779 | INFO | etl_orchestrator | ETL Run 13 started (full mode)
2025-12-15 14:15:54,779 | INFO | etl_orchestrator | Starting extract phase (full mode), batch_size=5000
2025-12-15 14:15:54,779 | INFO | etl.run_13 | Starting extract phase (full mode)
2025-12-15 14:15:54,859 | INFO | reporting.etl.extract | Full extract from transaction_db.user: 10 rows in 0.01s
2025-12-15 14:15:54,875 | INFO | reporting.etl.extract | Full extract from transaction_db.loan: 27 rows in 0.02s
2025-12-15 14:15:54,896 | INFO | reporting.etl.extract | Full extract from transaction_db.loan_application: 27 rows in 0.02s
2025-12-15 14:15:54,915 | INFO | reporting.etl.extract | Full extract from transaction_db.transaction_ledger: 5 rows in 0.02s
2025-12-15 14:15:54,936 | INFO | reporting.etl.extract | Full extract from transaction_db.repayment_schedule: 40 rows in 0.02s
2025-12-15 14:15:54,985 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.user to 2025-10-30 16:20:16
2025-12-15 14:15:55,031 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.loan to 2025-12-03 02:02:08
2025-12-15 14:15:55,077 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.loan_application to 2025-11-11 04:54:30
2025-12-15 14:15:55,124 | INFO | reporting.etl.extract | Full load: Updated watermark for transaction_db.transaction_ledger to 2024-03-16 10:00:00
2025-12-15 14:15:55,137 | WARNING | reporting.etl.extract | Could not update watermark for transaction_db.repayment_schedule: (1054, "Unknown column 'updated_at' in 'field list'")
2025-12-15 14:15:55,153 | INFO | reporting.etl.extract | Full extract from reference_db.ref_currency: 8 rows in 0.02s
2025-12-15 14:15:55,167 | INFO | reporting.etl.extract | Full extract from reference_db.ref_loan_product: 10 rows in 0.01s
2025-12-15 14:15:55,181 | INFO | reporting.etl.extract | Full extract from reference_db.ref_region: 14 rows in 0.01s
2025-12-15 14:15:55,195 | INFO | reporting.etl.extract | Full extract from reference_db.ref_credit_tier: 5 rows in 0.01s
2025-12-15 14:15:55,247 | INFO | reporting.etl.extract | Extract complete: 173 total rows from 12 sources
2025-12-15 14:15:56,466 | INFO | etl_orchestrator | Extract complete: 173 rows in 1.69s
2025-12-15 14:15:56,466 | INFO | etl_orchestrator | Starting transform phase
2025-12-15 14:15:56,467 | INFO | reporting.etl.transform | Loaded 7 FX rates for enrichment
2025-12-15 14:15:56,467 | INFO | reporting.etl.transform | Loaded 8 interest benchmarks
2025-12-15 14:15:56,467 | INFO | reporting.etl.transform | Loaded 12 credit spreads
2025-12-15 14:15:56,467 | INFO | reporting.etl.transform | Loaded 10 product definitions
2025-12-15 14:15:56,467 | INFO | reporting.etl.transform | Loaded 8 currencies
2025-12-15 14:15:56,467 | INFO | reporting.etl.transform | Loaded 5 credit tiers
2025-12-15 14:15:56,467 | INFO | reporting.etl.transform | Loaded 14 regions
2025-12-15 14:15:56,467 | INFO | reporting.etl.transform | Loaded 8 valid loan statuses
2025-12-15 14:15:56,467 | INFO | reporting.etl.transform | Loaded 3 valid user roles
2025-12-15 14:15:56,468 | INFO | reporting.etl.transform | Transformed 10 users, rejected 0
2025-12-15 14:15:56,468 | INFO | reporting.etl.transform | Transformed 27 loans, rejected 0
2025-12-15 14:15:56,469 | INFO | reporting.etl.transform | Transform complete: 48 rows, 0 rejected, 0 validation errors
2025-12-15 14:15:56,886 | INFO | etl_orchestrator | Transform complete: 48 rows in 0.42s
2025-12-15 14:15:56,887 | INFO | etl_orchestrator | Starting load phase
2025-12-15 14:15:57,002 | INFO | reporting.etl.load | Starting load phase
2025-12-15 14:15:57,003 | INFO | reporting.etl.load | Batch size: 5000, Run ID: 13
2025-12-15 14:15:57,038 | INFO | reporting.etl.load | dim_user: 10 rows in 0.035s (282.9 rows/sec)
2025-12-15 14:15:57,081 | INFO | reporting.etl.load | dim_loan_product: 10 rows in 0.043s (232.7 rows/sec)
2025-12-15 14:15:57,266 | ERROR | etl_orchestrator | ETL Run failed: (1054, "Unknown column 'borrower_id' in 'field list'")
