2025-12-05 17:30:48,317 | INFO | etl_orchestrator | ETL Run 9 started (incremental mode)
2025-12-05 17:30:48,317 | INFO | etl_orchestrator | Starting extract phase (incremental mode)
2025-12-05 17:30:48,590 | INFO | reporting.etl.extract | Incremental extract from user: 10 rows in 0.05s
2025-12-05 17:30:48,633 | INFO | reporting.etl.extract | Incremental extract from loan: 27 rows in 0.04s
2025-12-05 17:30:48,684 | INFO | reporting.etl.extract | Incremental extract from loan_application: 27 rows in 0.05s
2025-12-05 17:30:48,780 | INFO | reporting.etl.extract | Incremental extract from transaction_ledger: 5 rows in 0.10s
2025-12-05 17:30:48,828 | INFO | reporting.etl.extract | Incremental extract from repayment_schedule: 25 rows in 0.05s
2025-12-05 17:30:48,851 | INFO | reporting.etl.extract | Full extract from ref_currency: 8 rows in 0.02s
2025-12-05 17:30:48,875 | INFO | reporting.etl.extract | Full extract from ref_loan_product: 10 rows in 0.02s
2025-12-05 17:30:48,895 | INFO | reporting.etl.extract | Full extract from ref_region: 14 rows in 0.02s
2025-12-05 17:30:48,918 | INFO | reporting.etl.extract | Full extract from ref_credit_tier: 5 rows in 0.02s
2025-12-05 17:30:48,983 | INFO | reporting.etl.extract | Extract complete: 158 total rows from 12 sources
2025-12-05 17:30:50,924 | INFO | etl_orchestrator | Extract complete: 158 rows in 2.61s
2025-12-05 17:30:50,925 | INFO | etl_orchestrator | Starting transform phase
2025-12-05 17:30:50,926 | INFO | reporting.etl.transform | Transformed 10 users, rejected 0
2025-12-05 17:30:50,927 | INFO | reporting.etl.transform | Transformed 27 loans, rejected 0
2025-12-05 17:30:50,927 | INFO | reporting.etl.transform | Transform complete: 48 rows, 0 rejected
2025-12-05 17:30:51,594 | INFO | etl_orchestrator | Transform complete: 48 rows in 0.67s
2025-12-05 17:30:51,594 | INFO | etl_orchestrator | Starting load phase
2025-12-05 17:30:51,711 | INFO | reporting.etl.load | Starting load phase using stored procedures
2025-12-05 17:30:51,711 | INFO | reporting.etl.load | Loading dim_user...
2025-12-05 17:30:52,177 | INFO | reporting.etl.load | Loaded dim_user: 0 inserted, 10 updated in 0.47s
2025-12-05 17:30:52,177 | INFO | reporting.etl.load | Loading dim_loan_product...
2025-12-05 17:30:52,225 | ERROR | reporting.etl.load | Error loading dim_loan_product: (1054, "Unknown column 'min_term_months' in 'field list'")
2025-12-05 17:30:52,225 | INFO | reporting.etl.load | Loading fact_loan_transactions via stored procedure...
2025-12-05 17:30:52,273 | INFO | reporting.etl.load | sp_etl_load_fact_transactions: Loaded 0 rows in 0.00 seconds
2025-12-05 17:30:52,274 | INFO | reporting.etl.load | Refreshing fact_daily_portfolio via stored procedure...
2025-12-05 17:30:52,330 | INFO | reporting.etl.load | sp_etl_refresh_portfolio_snapshot: Portfolio snapshot refreshed for 2025-12-05
2025-12-05 17:30:52,330 | INFO | reporting.etl.load | Table dim_user: 0 inserted, 10 updated
2025-12-05 17:30:52,330 | INFO | reporting.etl.load | Table dim_loan_product: 0 inserted, 0 updated
2025-12-05 17:30:52,330 | WARNING | reporting.etl.load | Table fact_loan_transactions: status=success, message=None
2025-12-05 17:30:52,330 | WARNING | reporting.etl.load | Table fact_daily_portfolio: status=success, message=None
2025-12-05 17:30:52,980 | INFO | etl_orchestrator | Load complete: 11 rows in 1.39s
2025-12-05 17:30:53,144 | INFO | etl_orchestrator | ETL Run 9 completed successfully
