"TABLE_NAME","COLUMN_NAME","DATA_TYPE","IS_NULLABLE","COLUMN_DEFAULT","COLUMN_TYPE"
"etl_error_log","error_id","int","NO","","int"
"etl_error_log","run_id","int","NO","","int"
"etl_error_log","step_id","int","YES","","int"
"etl_error_log","error_type","varchar","NO","","varchar(50)"
"etl_error_log","error_code","varchar","YES","","varchar(20)"
"etl_error_log","error_message","text","NO","","text"
"etl_error_log","source_table","varchar","YES","","varchar(100)"
"etl_error_log","source_record_id","varchar","YES","","varchar(100)"
"etl_error_log","error_data","json","YES","","json"
"etl_error_log","created_at","datetime","NO","CURRENT_TIMESTAMP","datetime"
"etl_run_log","run_id","int","NO","","int"
"etl_run_log","run_type","enum","NO","","enum('full','incremental')"
"etl_run_log","status","enum","NO","running","enum('running','success','failed','partial')"
"etl_run_log","started_at","datetime","NO","CURRENT_TIMESTAMP","datetime"
"etl_run_log","completed_at","datetime","YES","","datetime"
"etl_run_log","rows_extracted","int","YES","0","int"
"etl_run_log","rows_transformed","int","YES","0","int"
"etl_run_log","rows_loaded","int","YES","0","int"
"etl_run_log","rows_rejected","int","YES","0","int"
"etl_run_log","error_message","text","YES","","text"
"etl_step_log","step_id","int","NO","","int"
"etl_step_log","run_id","int","NO","","int"
"etl_step_log","step_name","varchar","NO","","varchar(100)"
"etl_step_log","step_type","enum","NO","","enum('extract','transform','load','validate')"
"etl_step_log","source_table","varchar","YES","","varchar(100)"
"etl_step_log","target_table","varchar","YES","","varchar(100)"
"etl_step_log","status","enum","NO","running","enum('running','success','failed','skipped')"
"etl_step_log","started_at","datetime","NO","CURRENT_TIMESTAMP","datetime"
"etl_step_log","completed_at","datetime","YES","","datetime"
"etl_step_log","rows_processed","int","YES","0","int"
"etl_step_log","rows_inserted","int","YES","0","int"
"etl_step_log","rows_updated","int","YES","0","int"
"etl_step_log","rows_rejected","int","YES","0","int"
"etl_step_log","duration_seconds","decimal","YES","","decimal(10,2)"
"etl_step_log","error_message","text","YES","","text"
"etl_watermarks","watermark_id","int","NO","","int"
"etl_watermarks","source_name","varchar","NO","","varchar(100)"
"etl_watermarks","table_name","varchar","NO","","varchar(100)"
"etl_watermarks","column_name","varchar","NO","updated_at","varchar(100)"
"etl_watermarks","watermark_value","datetime","YES","","datetime"
"etl_watermarks","last_run_id","int","YES","","int"
"etl_watermarks","updated_at","datetime","YES","CURRENT_TIMESTAMP","datetime"
